Length	Field
9.8409841000E+00	1.9154944400E+00
9.8559856000E+00	1.9157200900E+00
9.8709871000E+00	1.9159457500E+00
9.8859886000E+00	1.9161714000E+00
9.9009901000E+00	1.9163970600E+00
9.9159916000E+00	1.9166227100E+00
9.9309931000E+00	1.9168483700E+00
9.9459946000E+00	1.9170740300E+00
9.9609961000E+00	1.9172996800E+00
9.9759976000E+00	1.9175253400E+00
9.9909991000E+00	1.9177509900E+00
1.0006000600E+01	1.9179766500E+00
1.0021002100E+01	1.9182023100E+00
1.0036003600E+01	1.9184279600E+00
1.0051005100E+01	1.9186536200E+00
1.0066006600E+01	1.9188792800E+00
1.0081008100E+01	1.9191049300E+00
1.0096009600E+01	1.9193305900E+00
1.0111011100E+01	1.9195562500E+00
1.0126012600E+01	1.9197819000E+00
1.0141014100E+01	1.9200075600E+00
1.0156015600E+01	1.9202332200E+00
1.0171017100E+01	1.9204588700E+00
1.0186018600E+01	1.9206845300E+00
1.0201020100E+01	1.9209101900E+00
1.0216021600E+01	1.9211358500E+00
1.0231023100E+01	1.9213615000E+00
1.0246024600E+01	1.9215871600E+00
1.0261026100E+01	1.9218128200E+00
1.0276027600E+01	1.9220384800E+00
1.0291029100E+01	1.9222641400E+00
1.0306030600E+01	1.9224897900E+00
1.0321032100E+01	1.9227154500E+00
1.0336033600E+01	1.9229411100E+00
1.0351035100E+01	1.9231667700E+00
1.0366036600E+01	1.9233924300E+00
1.0381038100E+01	1.9236180900E+00
1.0396039600E+01	1.9238437500E+00
1.0411041100E+01	1.9240694000E+00
1.0426042600E+01	1.9242950600E+00
1.0441044100E+01	1.9245207200E+00
1.0456045600E+01	1.9247463800E+00
