Length	Field
8.0558055800E+00	7.0469576800E-01
8.0708070800E+00	7.0476784300E-01
8.0858085800E+00	7.0483991900E-01
8.1008100800E+00	7.0491199500E-01
8.1158115800E+00	7.0498407100E-01
8.1308130800E+00	7.0505614800E-01
8.1458145800E+00	7.0512822500E-01
8.1608160800E+00	7.0520030200E-01
8.1758175800E+00	7.0527238000E-01
8.1908190800E+00	7.0534445800E-01
8.2058205800E+00	7.0541653600E-01
8.2208220800E+00	7.0548861500E-01
8.2358235800E+00	7.0556069400E-01
8.2508250800E+00	7.0563277300E-01
8.2658265800E+00	7.0570485300E-01
8.2808280800E+00	7.0577693300E-01
8.2958295800E+00	7.0584901300E-01
8.3108310800E+00	7.0592109400E-01
8.3258325800E+00	7.0599317500E-01
8.3408340800E+00	7.0606839200E-01
8.3558355800E+00	7.0614468000E-01
8.3708370800E+00	7.0622096900E-01
8.3858385800E+00	7.0629725900E-01
8.4008400800E+00	7.0637354900E-01
8.4158415800E+00	7.0644984000E-01
8.4308430800E+00	7.0652613100E-01
8.4458445800E+00	7.0660242300E-01
8.4608460800E+00	7.0667871500E-01
8.4758475800E+00	7.0675500800E-01
8.4908490800E+00	7.0683130100E-01
8.5058505900E+00	7.0690759500E-01
8.5208520900E+00	7.0698388900E-01
8.5358535900E+00	7.0703810800E-01
8.5508550900E+00	7.0708341600E-01
8.5658565900E+00	7.0713827300E-01
8.5808580900E+00	7.0722572700E-01
8.5958595900E+00	7.0731318100E-01
8.6108610900E+00	7.0740063500E-01
8.6258625900E+00	7.0748808900E-01
8.6408640900E+00	7.0757554200E-01
8.6558655900E+00	7.0766299600E-01
8.6708670900E+00	7.0775045000E-01
8.6858685900E+00	7.0783790400E-01
8.7008700900E+00	7.0792535800E-01
8.7158715900E+00	7.0801281200E-01
8.7308730900E+00	7.0810026700E-01
8.7458745900E+00	7.0818772100E-01
8.7608760900E+00	7.0827517500E-01
8.7758775900E+00	7.0836262900E-01
8.7908790900E+00	7.0845008300E-01
8.8058805900E+00	7.0853753800E-01
8.8208820900E+00	7.0862499200E-01
8.8358835900E+00	7.0871244700E-01
8.8508850900E+00	7.0879990100E-01
8.8658865900E+00	7.0888735500E-01
8.8808880900E+00	7.0897481000E-01
8.8958895900E+00	7.0906226500E-01
8.9108910900E+00	7.0914971900E-01
8.9258925900E+00	7.0923717400E-01
8.9408940900E+00	7.0932195800E-01
8.9558955900E+00	7.0940604000E-01
8.9708970900E+00	7.0949012100E-01
8.9858985900E+00	7.0957420200E-01
9.0009000900E+00	7.0965828400E-01
9.0159015900E+00	7.0974236500E-01
9.0309030900E+00	7.0982644600E-01
9.0459045900E+00	7.0991052800E-01
9.0609060900E+00	7.0999460900E-01
9.0759075900E+00	7.1007869000E-01
9.0909090900E+00	7.1016277200E-01
9.1059105900E+00	7.1024685300E-01
9.1209120900E+00	7.1033093500E-01
9.1359135900E+00	7.1041501600E-01
